2026-05-16 17:14:46,099 | INFO     | WorAI | 🚀 WorAI Engine กำลังเริ่มต้น...
2026-05-16 17:14:46,100 | INFO     | WorAI | 🗣 Input: พรุ่งนี้อากาศที่เชียงใหม่เป็นไงบ้าง
2026-05-16 17:14:46,101 | INFO     | WorAI | 🗣 Input: ช่วยคำนวณ 1500 + 25% ให้หน่อย
2026-05-16 17:14:46,101 | INFO     | WorAI | 🗣 Input: โยนิโสมนสิการคืออะไร
2026-05-16 17:14:46,101 | INFO     | WorAI | 🗣 Input: จองร้านอาหารใกล้สยาม
2026-05-16 17:14:46,101 | INFO     | WorAI | 🗣 Input: สวัสดีครับ
2026-05-16 17:14:46,102 | INFO     | WorAI | 🗣 Input: มันร้อนมาก
2026-05-16 17:16:12,031 | INFO     | WorAI | 🚀 WorAI Engine กำลังเริ่มต้น...
2026-05-16 17:16:12,031 | INFO     | WorAI | 🗣 Input: พรุ่งนี้อากาศที่เชียงใหม่เป็นไงบ้าง
2026-05-16 17:16:12,032 | INFO     | WorAI | 🗣 Input: ช่วยคำนวณ 1500 + 25% ให้หน่อย
2026-05-16 17:16:12,033 | INFO     | WorAI | 🗣 Input: โยนิโสมนสิการคืออะไร
2026-05-16 17:16:12,033 | INFO     | WorAI | 🗣 Input: จองร้านอาหารใกล้สยาม
2026-05-16 17:16:12,034 | INFO     | WorAI | 🗣 Input: สวัสดีครับ
2026-05-16 17:16:12,034 | INFO     | WorAI | 🗣 Input: มันร้อนมาก
2026-05-16 17:16:12,035 | INFO     | WorAI | 🗣 Input: 10 * 5 - 3
2026-05-16 17:18:47,464 | INFO     | WorAI | 🚀 WorAI Engine กำลังเริ่มต้น...
2026-05-16 17:18:47,465 | INFO     | WorAI | 🗣 Input: พรุ่งนี้อากาศที่เชียงใหม่เป็นไงบ้าง
2026-05-16 17:18:47,465 | INFO     | WorAI | 🗣 Input: ช่วยคำนวณ 1500 + 25% ให้หน่อย
2026-05-16 17:18:47,466 | INFO     | WorAI | 🗣 Input: โยนิโสมนสิการคืออะไร
2026-05-16 17:18:47,466 | INFO     | WorAI | 🗣 Input: จองร้านอาหารใกล้สยาม
2026-05-16 17:18:47,467 | INFO     | WorAI | 🗣 Input: สวัสดีครับ
2026-05-16 17:18:47,467 | INFO     | WorAI | 🗣 Input: มันร้อนมาก
2026-05-16 17:18:47,468 | INFO     | WorAI | 🗣 Input: 10 * 5 - 3
